:START_ID,located_in,:END_ID,:TYPE
c10001,located_in,p25,LOCATED_IN
c10002,located_in,p25,LOCATED_IN
c10003,located_in,p25,LOCATED_IN
c10004,located_in,p25,LOCATED_IN
c10006,located_in,p25,LOCATED_IN
c10007,located_in,p25,LOCATED_IN
c10008,located_in,p25,LOCATED_IN
c10009,located_in,p25,LOCATED_IN
c10010,located_in,p25,LOCATED_IN
c10011,located_in,p25,LOCATED_IN
c10013,located_in,p25,LOCATED_IN
c10022,located_in,p25,LOCATED_IN
c10027,located_in,p25,LOCATED_IN
c10028,located_in,p25,LOCATED_IN
c10030,located_in,p25,LOCATED_IN
c10033,located_in,p25,LOCATED_IN
c10043,located_in,p25,LOCATED_IN
c10054,located_in,p25,LOCATED_IN
c10112,located_in,p10,LOCATED_IN
c10126,located_in,p34,LOCATED_IN
c10140,located_in,p18,LOCATED_IN
c10141,located_in,p18,LOCATED_IN
c10151,located_in,p18,LOCATED_IN
c10184,located_in,p23,LOCATED_IN
c10216,located_in,p17,LOCATED_IN
c10224,located_in,p12,LOCATED_IN
c10225,located_in,p12,LOCATED_IN
c10246,located_in,p9,LOCATED_IN
c10247,located_in,p9,LOCATED_IN
c10248,located_in,p9,LOCATED_IN
c10251,located_in,p9,LOCATED_IN
c10255,located_in,p9,LOCATED_IN
c10269,located_in,p9,LOCATED_IN
c10270,located_in,p9,LOCATED_IN
c10271,located_in,p9,LOCATED_IN
c10276,located_in,p9,LOCATED_IN
c10280,located_in,p9,LOCATED_IN
c10284,located_in,p4,LOCATED_IN
c10286,located_in,p4,LOCATED_IN
c10287,located_in,p4,LOCATED_IN
c10291,located_in,p4,LOCATED_IN
c10294,located_in,p4,LOCATED_IN
c10295,located_in,p4,LOCATED_IN
c10304,located_in,p4,LOCATED_IN
c10319,located_in,p4,LOCATED_IN
c10327,located_in,p4,LOCATED_IN
c10336,located_in,p13,LOCATED_IN
c10338,located_in,p13,LOCATED_IN
c10357,located_in,p28,LOCATED_IN
c10359,located_in,p28,LOCATED_IN
c10384,located_in,p19,LOCATED_IN
c10385,located_in,p19,LOCATED_IN
c10386,located_in,p19,LOCATED_IN
c10389,located_in,p19,LOCATED_IN
c10403,located_in,p11,LOCATED_IN
c10459,located_in,p1,LOCATED_IN
c10486,located_in,p21,LOCATED_IN
c10487,located_in,p21,LOCATED_IN
c10488,located_in,p21,LOCATED_IN
c10491,located_in,p21,LOCATED_IN
c10504,located_in,p21,LOCATED_IN
c10511,located_in,p21,LOCATED_IN
c10512,located_in,p21,LOCATED_IN
c10532,located_in,p22,LOCATED_IN
c10533,located_in,p22,LOCATED_IN
c10542,located_in,p22,LOCATED_IN
c10561,located_in,p24,LOCATED_IN
c10593,located_in,p29,LOCATED_IN
c10610,located_in,p33,LOCATED_IN
c10626,located_in,p33,LOCATED_IN
c10635,located_in,p27,LOCATED_IN
c10651,located_in,p33,LOCATED_IN
c10657,located_in,p14,LOCATED_IN
c10697,located_in,p5,LOCATED_IN
c10701,located_in,p5,LOCATED_IN
c10710,located_in,p5,LOCATED_IN
c10730,located_in,p30,LOCATED_IN
c10755,located_in,p20,LOCATED_IN
c10759,located_in,p20,LOCATED_IN
c11065,located_in,p16,LOCATED_IN
c11078,located_in,p24,LOCATED_IN
c11413,located_in,p25,LOCATED_IN
c11415,located_in,p25,LOCATED_IN
c11417,located_in,p25,LOCATED_IN
c20000,located_in,p9,LOCATED_IN
c106111,located_in,p27,LOCATED_IN
c10358,located_in,p28,LOCATED_IN
c10337,located_in,p13,LOCATED_IN
